City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,chake chake,-5.2459,39.7666,24.29,87,6,3.2,TZ,1697850522
112,kismayo,-0.3582,42.5454,26.0,84,84,5.95,SO,1697850522
113,altai,46.3722,96.2583,1.89,39,0,1.31,MN,1697850523
114,college,64.8569,-147.8028,-3.64,73,75,6.69,US,1697850523
115,tabina,7.4669,123.4081,28.54,75,9,1.26,PH,1697850523
116,severo-yeniseyskiy,60.3725,93.0408,-0.12,85,100,3.19,RU,1697850524
117,amga,60.8953,131.9608,-9.62,81,98,0.87,RU,1697850524
118,khandyga,62.6667,135.6,-8.95,88,100,0.62,RU,1697850524
119,san patricio,28.017,-97.5169,27.52,54,6,3.82,US,1697850524
120,solnechnyy,50.7214,136.6319,0.19,65,84,1.83,RU,1697850524
121,damghan,36.1683,54.348,13.13,55,0,0.32,IR,1697850524
122,nadym,65.5333,72.5167,-1.06,73,100,11.65,RU,1697850524
123,cabedelo,-6.9811,-34.8339,26.37,80,67,6.31,BR,1697850525
124,billiri,9.8647,11.2253,24.54,55,13,1.23,NG,1697850525
125,kone,-21.0595,164.8658,24.76,62,88,2.81,NC,1697850525
126,east london,-33.0153,27.9116,19.64,94,100,6.12,ZA,1697850525
127,grantsville,40.5999,-112.4644,20.2,56,0,1.79,US,1697850526
128,beitbridge,-22.2167,30.0,21.86,43,0,2.04,ZW,1697850526
129,rosso,16.4986,-15.8153,27.84,50,72,8.56,SN,1697850526
130,puerto ayora,-0.7393,-90.3518,24.19,94,21,3.13,EC,1697850526
131,kerikeri,-35.2268,173.9474,21.62,79,86,2.24,NZ,1697850527
132,kaoma,-14.7833,24.8,19.43,80,100,2.04,ZM,1697850527
133,enewetak,11.3474,162.3373,28.81,72,100,5.34,MH,1697850527
134,vila velha,-20.3297,-40.2925,20.97,88,75,1.03,BR,1697850527
135,bamboo flat,11.7,92.7167,26.05,94,40,0.51,IN,1697850528
136,igarka,67.4667,86.5833,-0.17,88,99,7.89,RU,1697850528
137,punta arenas,-53.15,-70.9167,5.06,65,40,11.32,CL,1697850528
138,troitsk,54.0979,61.5773,1.68,72,77,2.68,RU,1697850528
139,santa elena de uairen,4.6167,-61.1333,21.16,87,95,1.48,VE,1697850528
140,siwa oasis,29.2041,25.5195,22.99,32,0,2.25,EG,1697850528
141,hemsby,52.6971,1.6918,12.21,99,14,4.87,GB,1697850529
142,bauru,-22.3147,-49.0606,21.02,81,26,2.24,BR,1697850529
143,la palma,33.8464,-118.0467,34.41,49,0,4.63,US,1697850529
